doc.dangdang.com              	221.122.87.42
vip.dangdang.com              	60.29.241.192
www.dangdang.com              	60.29.254.180
my.dangdang.com               	221.122.85.122
sk.dangdang.com               	221.122.86.226
img3.dangdang.com             	111.2.122.2, 112.17.25.8, 112.29.248.150, 120.220.40.125, 221.131.105.18, 222.46.200.254, 223.112.203.43
training.dangdang.com         	60.29.254.54
shopping.dangdang.com         	60.29.254.202
ns.dangdang.com               	221.122.85.84
cx.dangdang.com               	221.122.87.17
15.dangdang.com               	221.122.85.11
pg.dangdang.com               	221.122.86.127
bugzilla.dangdang.com         	218.247.11.198
wx.dangdang.com               	60.29.254.169
smtp.dangdang.com             	219.142.192.153
sdc.dangdang.com              	218.247.11.200
channel.dangdang.com          	221.122.87.75
v.dangdang.com                	60.29.254.172
wap.dangdang.com              	221.122.85.108
admin.dangdang.com            	60.29.243.27
life.dangdang.com             	221.122.85.99
blog.dangdang.com             	60.29.241.99
service.dangdang.com          	221.122.85.152
store.dangdang.com            	60.29.254.195
safe.dangdang.com             	221.122.85.242
img2.dangdang.com             	111.2.122.2, 112.17.25.8, 112.29.248.150, 120.220.40.125, 221.131.105.18, 222.46.200.254, 223.112.203.43
r.dangdang.com                	60.29.254.90
item.dangdang.com             	221.122.85.150
survey.dangdang.com           	60.29.254.153
kids.dangdang.com             	221.122.85.96
sales.dangdang.com            	221.122.85.189
click.dangdang.com            	60.29.241.130
zx.dangdang.com               	60.29.254.64
job.dangdang.com              	60.29.241.229
cj.dangdang.com               	60.29.241.135
comm.dangdang.com             	60.29.241.137
rainbow.dangdang.com          	60.29.241.217
point.dangdang.com            	60.29.254.81
api.dangdang.com              	60.28.212.42
mama.dangdang.com             	221.122.86.100
open.dangdang.com             	221.122.86.124
shop.dangdang.com             	60.29.254.137
h5.dangdang.com               	60.28.212.42
health.dangdang.com           	60.29.241.188
book.dangdang.com             	60.29.241.103
mail.dangdang.com             	219.142.192.150
img1.dangdang.com             	111.2.122.2, 112.17.25.8, 112.29.248.150, 120.220.40.125, 221.131.105.18, 222.46.200.254, 223.112.203.43
read.dangdang.com             	60.29.241.166
promo.dangdang.com            	60.29.254.87
ddh.dangdang.com              	60.29.243.56
message.dangdang.com          	221.122.85.177
twiki.dangdang.com            	218.247.11.197
sendmail.dangdang.com         	116.58.218.196, 116.58.218.197, 116.58.218.232, 116.58.218.233, 203.81.26.196, 203.81.26.232, 203.81.26.233, 221.122.85.31, 221.122.85.32, 221.122.85.34, 221.122.85.35, 221.122.85.36, 221.122.85.37, 221.122.85.38, 221.122.85.55, 221.122.85.56, 221.122.85.57, 221.122.85.59, 221.122.85.60, 221.122.85.61, 221.122.85.62, 221.122.85.63, 221.122.85.64, 221.122.85.65, 221.122.85.74, 221.122.85.75, 221.122.85.76
ww.dangdang.com               	60.29.254.180
1111.dangdang.com             	221.122.85.11
api.open.dangdang.com         	221.122.86.78
search.read.dangdang.com      	221.122.85.169
static.dangdang.com           	112.25.104.171, 112.25.105.181, 112.25.105.245, 223.111.107.90, 223.111.108.66, 223.111.113.116, 223.111.186.103, 223.111.194.208, 223.111.194.223, 223.111.195.77, 223.111.243.191, 223.111.96.197, 223.111.97.253, 36.152.10.166, 36.156.25.202
help.dangdang.com             	60.29.241.195
cs.dangdang.com               	211.103.133.131
love.dangdang.com             	42.159.24.47
k.dangdang.com                	221.122.85.224
search.dangdang.com           	221.122.85.154
home.dangdang.com             	60.29.254.180
m.dangdang.com                	60.29.254.24
payment.dangdang.com          	60.29.254.70
mt.dangdang.com               	221.122.86.207
login.dangdang.com            	60.29.241.233
art.dangdang.com              	221.122.85.179
widgets.dangdang.com          	60.29.254.84
ec.dangdang.com               	60.29.241.217
b2b.dangdang.com              	60.29.254.52
meet.dangdang.com             	60.29.243.27
robot.dangdang.com            	60.29.254.185
mall.dangdang.com             	60.29.254.149
camel.dangdang.com            	60.29.254.137
lottery.dangdang.com          	221.122.86.97
oauth.dangdang.com            	60.29.254.54
gongyi.dangdang.com           	221.122.85.107
passport.m.dangdang.com       	221.122.85.220
search.m.dangdang.com         	221.122.85.204
wx.m.dangdang.com             	221.122.86.159
support.dangdang.com          	60.29.243.121
union.dangdang.com            	60.29.241.250
new.dangdang.com              	221.122.85.162
n.dangdang.com                	221.122.85.162
author.dangdang.com           	221.122.86.39
movie.dangdang.com            	221.122.86.106
customer.dangdang.com         	221.122.86.16
feed.dangdang.com             	60.29.241.178
hot.dangdang.com              	60.29.241.202
food.dangdang.com             	60.29.241.173
edm.dangdang.com              	210.73.195.45
try.dangdang.com              	60.29.243.234
design.dangdang.com           	60.29.241.102
ns1.dangdang.com              	60.29.254.191
a.dangdang.com                	60.29.241.69
t.dangdang.com                	221.122.85.107
global.dangdang.com           	60.29.254.148
brand.dangdang.com            	60.29.254.145
android.dangdang.com          	221.122.85.130
vpn.dangdang.com              	219.142.192.152
images.dangdang.com           	112.25.104.171, 112.25.105.181, 112.25.105.245, 223.111.104.53, 223.111.107.90, 223.111.108.66, 223.111.112.87, 223.111.113.116, 223.111.186.103, 223.111.195.77, 223.111.243.191, 223.111.96.197, 223.111.97.253, 36.152.10.166, 36.156.25.202
central.dangdang.com          	221.122.87.7
misc.dangdang.com             	60.29.254.16
