2018-09-05 01:17:29: [*] ³ÌĞòÔËĞĞ : ÅúÁ¿µ¼ÈëÍøÖ·ÊäÈë 0 (½«²É¼¯ºÃµÄÍøÖ·ÎÄ±¾ÍÏ×§½øÀ´)   ×Ô¶¯²É¼¯¹Ø¼ü´ÊÊäÈë 1 (°Ù¶È½Ó¿Ú¹Ø¼ü´Ê²É¼¯)
2018-09-05 01:17:29: [*] ³ÌĞòÔËĞĞ : ÇëÑ¡ÔñÆô¶¯·½Ê½(Ñ¡Ïî:0/1):0
2018-09-05 01:17:30: [*] ³ÌĞòÔËĞĞ : ÊäÈëÍøÖ·ÎÄ±¾Ãû(¿ÉÍÏ×§½øÀ´) :F:\CODE\URL²É¼¯\0.96\langzi_url_0.96\²âÊÔ2018Äê9ÔÂ5ÈÕ004627\2018-09-05-00-47-22.txt
2018-09-05 01:17:32: [+] ÍøÖ·Ğ´Èë : http://gduf.edu.cn.w3snoop.com
2018-09-05 01:17:32: [+] ÍøÖ·Ğ´Èë : http://www.crtvu.edu.cn
2018-09-05 01:17:32: [+] ÍøÖ·Ğ´Èë : http://cxcy.hzu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://wlxt.ncist.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://rwxy.xidian.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://www.ynusky.ynu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://www.jit.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://dag.usc.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://gongan.nwpu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://my.csust.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://jdsd.gyctcm.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://history.nankai.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://museum.sjtu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://sel.swupl.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : https://scc.pku.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://map.xmu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://xq.sdmu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://wlaq.biem.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://study.hsu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://service.cqu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://jx.dlou.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://zs.haust.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://psy.wzu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://ddqzlx.host.hstc.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://www.hncc.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://kyc.hainnu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://sjgm.caa.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : https://zj.fjtcm.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://jwk.dlvtc.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://webtv.xcu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://rsc.sjzu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://skxy.fafu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://english.cqut.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://cas.lnnu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://journals.tju.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://iecd.csu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://zgdj.hbee.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://gjyjy.lyu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://mail.fjpsc.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://media.nju.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://lxyz.nwu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://www.volunteer.sdu.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://xb.imut.edu.cn
2018-09-05 01:17:33: [+] ÍøÖ·Ğ´Èë : http://wesleyan.gzhu.edu.cn
