2018-09-04 02:56:11 - ÍøÖ·²É¼¯¿ªÊ¼
2018-09-04 02:56:11: [*] ³ÌĞòÔËĞĞ : µ±Ç°ÓÃ»§ : Langzi
2018-09-04 02:56:11: [*] ³ÌĞòÔËĞĞ : ÓÑÁ´²É¼¯Ïî : ¿ªÆô
2018-09-04 02:56:11: [*] ³ÌĞòÔËĞĞ : ÎŞÏŞ²É¼¯Ïî : ¿ªÆô
2018-09-04 02:56:20: [*] ³ÌĞòÔËĞĞ : ÅúÁ¿µ¼ÈëÍøÖ·ÊäÈë 0 (½«²É¼¯ºÃµÄÍøÖ·ÎÄ±¾ÍÏ×§½øÀ´)   ×Ô¶¯²É¼¯¹Ø¼ü´ÊÊäÈë 1 (°Ù¶È½Ó¿Ú¹Ø¼ü´Ê²É¼¯)
2018-09-04 02:56:20: [*] ³ÌĞòÔËĞĞ : ÇëÑ¡ÔñÆô¶¯·½Ê½(Ñ¡Ïî:0/1):0
2018-09-04 02:56:32: [*] ³ÌĞòÔËĞĞ : ÊäÈëÍøÖ·ÎÄ±¾Ãû(¿ÉÍÏ×§½øÀ´) :F:\CODE\URL²É¼¯\0.96\langzi_url_0.96\²âÊÔµ¥´Ê\Òì²½\2018-09-04-02-36-22.txt
2018-09-04 02:56:34: [*] ³ÌĞòÔËĞĞ : ¶ÔÓÑÁ´ÅÀĞĞ²É¼¯ 1 ´Î : ¿ªÆô
2018-09-04 02:56:34: [*] ³ÌĞòÔËĞĞ : ÍøÖ·¼ÓÔØ³É¹¦£¬Ò»¹² 342 ¸öÍøÖ·
2018-09-04 02:56:35: [+] ÓÑÁ´ÅÀĞĞ : http://www.wsc.shu.edu.cn
2018-09-04 02:56:35: [+] ÓÑÁ´ÅÀĞĞ : http://xq.dlou.edu.cn
2018-09-04 02:56:35: [+] ÓÑÁ´ÅÀĞĞ : http://ies.zuel.edu.cn
2018-09-04 02:56:35: [+] ÍøÖ·Ğ´Èë : http://www.wsc.shu.edu.cn
2018-09-04 02:56:35: [+] ÍøÖ·Ğ´Èë : http://ies.zuel.edu.cn
2018-09-04 02:56:35: [+] ÍøÖ·Ğ´Èë : http://xq.dlou.edu.cn
2018-09-04 02:56:36: [+] ÓÑÁ´ÅÀĞĞ : http://zjc.gsau.edu.cn
2018-09-04 02:56:36: [+] ÓÑÁ´ÅÀĞĞ : http://coj.cqut.edu.cn
2018-09-04 02:56:36: [+] ÍøÖ·Ğ´Èë : http://zjc.gsau.edu.cn
2018-09-04 02:56:36: [+] ÓÑÁ´ÅÀĞĞ : http://www.gsau.edu.cn
2018-09-04 02:56:36: [+] ÍøÖ·Ğ´Èë : http://coj.cqut.edu.cn
2018-09-04 02:56:36: [+] ÓÑÁ´ÅÀĞĞ : http://kjy.jit.edu.cn
2018-09-04 02:56:36: [+] ÓÑÁ´ÅÀĞĞ : http://txsw.zjweu.edu.cn
2018-09-04 02:56:36: [+] ÍøÖ·Ğ´Èë : http://www.gsau.edu.cn
2018-09-04 02:56:37: [+] ÓÑÁ´ÅÀĞĞ : http://tjuttc.tju.edu.cn
2018-09-04 02:56:37: [+] ÍøÖ·Ğ´Èë : http://kjy.jit.edu.cn
2018-09-04 02:56:37: [+] ÍøÖ·Ğ´Èë : http://txsw.zjweu.edu.cn
2018-09-04 02:56:37: [+] ÓÑÁ´ÅÀĞĞ : http://kjx.zjweu.edu.cn
2018-09-04 02:56:37: [+] ÍøÖ·Ğ´Èë : http://tjuttc.tju.edu.cn
2018-09-04 02:56:37: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:56:37: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:56:37: [+] ÓÑÁ´ÅÀĞĞ : http://kjc.gzucm.edu.cn
2018-09-04 02:56:37: [+] ÍøÖ·Ğ´Èë : http://kjx.zjweu.edu.cn
2018-09-04 02:56:37: [+] ÓÑÁ´ÅÀĞĞ : http://mjzt.zjweu.edu.cn
2018-09-04 02:56:38: [+] ÓÑÁ´ÅÀĞĞ : http://www.ec.js.edu.cn
2018-09-04 02:56:38: [+] ÍøÖ·Ğ´Èë : http://kjc.gzucm.edu.cn
2018-09-04 02:56:38: [+] ÓÑÁ´ÅÀĞĞ : http://xyddh.xupt.edu.cn
2018-09-04 02:56:38: [+] ÓÑÁ´ÅÀĞĞ : http://www.most.gov.cn
2018-09-04 02:56:38: [+] ÍøÖ·Ğ´Èë : http://mjzt.zjweu.edu.cn
2018-09-04 02:56:38: [+] ÓÑÁ´ÅÀĞĞ : http://hydro.zjweu.edu.cn
2018-09-04 02:56:38: [+] ÍøÖ·Ğ´Èë : http://www.ec.js.edu.cn
2018-09-04 02:56:38: [+] ÓÑÁ´ÅÀĞĞ : https://freshman.ysu.edu.cn
2018-09-04 02:56:38: [+] ÓÑÁ´ÅÀĞĞ : http://radio.upc.edu.cn
2018-09-04 02:56:38: [+] ÓÑÁ´ÅÀĞĞ : http://www.huaxuejia.cn
2018-09-04 02:56:38: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:56:38: [+] ÓÑÁ´ÅÀĞĞ : http://yjs.hebut.edu.cn
2018-09-04 02:56:38: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:56:38: [+] ÍøÖ·Ğ´Èë : http://xyddh.xupt.edu.cn
2018-09-04 02:56:38: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:56:38: [+] ÓÑÁ´ÅÀĞĞ : http://www.xiyou.edu.cn
2018-09-04 02:56:38: [+] ÓÑÁ´ÅÀĞĞ : http://sme.sipac.gov.cn
2018-09-04 02:56:38: [+] ÓÑÁ´ÅÀĞĞ : http://cty.zuvio.com
2018-09-04 02:56:38: [+] ÓÑÁ´ÅÀĞĞ : http://yjsc.jit.edu.cn
2018-09-04 02:56:38: [+] ÍøÖ·Ğ´Èë : http://radio.upc.edu.cn
2018-09-04 02:56:39: [-] ÍøÖ·ÅÅ³ı : http://www.huaxuejia.cn : ÅÅ³ıÔ­Òò : ÍøÖ·ÖĞ²»´æÔÚ : .edu.cn
2018-09-04 02:56:39: [+] ÓÑÁ´ÅÀĞĞ : http://kyc.lzu.edu.cn
2018-09-04 02:56:39: [+] ÍøÖ·Ğ´Èë : https://freshman.ysu.edu.cn
2018-09-04 02:56:39: [+] ÓÑÁ´ÅÀĞĞ : http://www.jit.edu.cn
2018-09-04 02:56:39: [+] ÓÑÁ´ÅÀĞĞ : https://mp.weixin.qq.com
2018-09-04 02:56:39: [+] ÍøÖ·Ğ´Èë : http://www.xiyou.edu.cn
2018-09-04 02:56:39: [+] ÓÑÁ´ÅÀĞĞ : http://www.sdll.cn
2018-09-04 02:56:39: [+] ÍøÖ·Ğ´Èë : http://yjs.hebut.edu.cn
2018-09-04 02:56:39: [+] ÍøÖ·Ğ´Èë : http://yjsc.jit.edu.cn
2018-09-04 02:56:39: [*] Òì³£×´Ì¬ : HTTPConnectionPool(host='kyc.lzu.edu.cn', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000000000DCEC390>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))
2018-09-04 02:56:39: [+] ÓÑÁ´ÅÀĞĞ : http://ldrsc.lzu.edu.cn
2018-09-04 02:56:39: [-] ÍøÖ·ÅÅ³ı : http://www.most.gov.cn : ÅÅ³ıÔ­Òò : ÍøÖ·ÖĞ²»´æÔÚ : .edu.cn
2018-09-04 02:56:39: [+] ÓÑÁ´ÅÀĞĞ : http://www.gzsi.gov.cn
2018-09-04 02:56:39: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:56:39: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:56:39: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:56:39: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:56:39: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:56:39: [+] ÓÑÁ´ÅÀĞĞ : http://course.sdu.edu.cn
2018-09-04 02:56:39: [+] ÍøÖ·Ğ´Èë : http://www.jit.edu.cn
2018-09-04 02:56:39: [+] ÓÑÁ´ÅÀĞĞ : http://hqzgs.jit.edu.cn
2018-09-04 02:56:39: [+] ÓÑÁ´ÅÀĞĞ : http://lib.jit.edu.cn
2018-09-04 02:56:39: [+] ÍøÖ·Ğ´Èë : http://ldrsc.lzu.edu.cn
2018-09-04 02:56:39: [+] ÓÑÁ´ÅÀĞĞ : http://chemec.lzu.edu.cn
2018-09-04 02:56:39: [+] ÓÑÁ´ÅÀĞĞ : http://www.dpm.xjtu.edu.cn
2018-09-04 02:56:39: [-] ÍøÖ·ÅÅ³ı : http://www.gzsi.gov.cn : ÅÅ³ıÔ­Òò : ÍøÖ·ÖĞ²»´æÔÚ : .edu.cn
2018-09-04 02:56:39: [+] ÓÑÁ´ÅÀĞĞ : http://www.gdstc.gov.cn
2018-09-04 02:56:39: [+] ÓÑÁ´ÅÀĞĞ : http://san.ynau.edu.cn
2018-09-04 02:56:39: [+] ÍøÖ·Ğ´Èë : http://course.sdu.edu.cn
2018-09-04 02:56:39: [+] ÓÑÁ´ÅÀĞĞ : http://jspx.sdu.edu.cn
2018-09-04 02:56:39: [+] ÍøÖ·Ğ´Èë : http://hqzgs.jit.edu.cn
2018-09-04 02:56:40: [+] ÓÑÁ´ÅÀĞĞ : http://seid.sipac.gov.cn
2018-09-04 02:56:40: [-] ÍøÖ·ÅÅ³ı : http://www.gdstc.gov.cn : ÅÅ³ıÔ­Òò : ÍøÖ·ÖĞ²»´æÔÚ : .edu.cn
2018-09-04 02:56:40: [+] ÓÑÁ´ÅÀĞĞ : http://www.moe.edu.cn
2018-09-04 02:56:40: [+] ÍøÖ·Ğ´Èë : http://lib.jit.edu.cn
2018-09-04 02:56:40: [+] ÍøÖ·Ğ´Èë : http://www.dpm.xjtu.edu.cn
2018-09-04 02:56:40: [+] ÓÑÁ´ÅÀĞĞ : http://twweb.jit.edu.cn
2018-09-04 02:56:40: [+] ÓÑÁ´ÅÀĞĞ : http://ic.xjtu.edu.cn
2018-09-04 02:56:40: [+] ÓÑÁ´ÅÀĞĞ : http://ir.lzu.edu.cn
2018-09-04 02:56:40: [+] ÓÑÁ´ÅÀĞĞ : http://www.kgscience.com
2018-09-04 02:56:40: [+] ÍøÖ·Ğ´Èë : http://jspx.sdu.edu.cn
2018-09-04 02:56:40: [+] ÓÑÁ´ÅÀĞĞ : http://tuanwei.sdufe.edu.cn
2018-09-04 02:56:40: [+] ÓÑÁ´ÅÀĞĞ : http://www.cfd.sdu.edu.cn
2018-09-04 02:56:40: [-] ÍøÖ·ÅÅ³ı : http://seid.sipac.gov.cn : ÅÅ³ıÔ­Òò : ÍøÖ·ÖĞ²»´æÔÚ : .edu.cn
2018-09-04 02:56:40: [+] ÓÑÁ´ÅÀĞĞ : http://www.suz.sdu.edu.cn
2018-09-04 02:56:40: [+] ÍøÖ·Ğ´Èë : http://www.moe.edu.cn
2018-09-04 02:56:40: [+] ÓÑÁ´ÅÀĞĞ : http://www.gdhed.edu.cn
2018-09-04 02:56:40: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:56:40: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:56:40: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:56:40: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:56:40: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:56:40: [+] ÍøÖ·Ğ´Èë : http://ic.xjtu.edu.cn
2018-09-04 02:56:40: [+] ÓÑÁ´ÅÀĞĞ : http://nanyang.xjtu.edu.cn
2018-09-04 02:56:40: [+] ÍøÖ·Ğ´Èë : http://twweb.jit.edu.cn
2018-09-04 02:56:40: [+] ÓÑÁ´ÅÀĞĞ : http://yulu.jit.edu.cn
2018-09-04 02:56:40: [+] ÓÑÁ´ÅÀĞĞ : http:\\www.fmmu.edu.cn
2018-09-04 02:56:40: [*] Òì³£×´Ì¬ : Failed to parse: http:\\www.fmmu.edu.cn
2018-09-04 02:56:40: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:56:40: [+] ÓÑÁ´ÅÀĞĞ : http://tdllkf.fmmu.edu.cn
2018-09-04 02:56:40: [+] ÓÑÁ´ÅÀĞĞ : http://www.bjedu.gov.cn
2018-09-04 02:56:40: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:56:40: [+] ÍøÖ·Ğ´Èë : http://tuanwei.sdufe.edu.cn
2018-09-04 02:56:40: [+] ÍøÖ·Ğ´Èë : http://www.cfd.sdu.edu.cn
2018-09-04 02:56:40: [+] ÓÑÁ´ÅÀĞĞ : http://www.sdxxgqt.com
2018-09-04 02:56:40: [+] ÍøÖ·Ğ´Èë : http://www.suz.sdu.edu.cn
2018-09-04 02:56:40: [+] ÓÑÁ´ÅÀĞĞ : http://cty.zuvio.com.cn
2018-09-04 02:56:40: [+] ÓÑÁ´ÅÀĞĞ : http://www.rcsz.gov.cn
2018-09-04 02:56:40: [+] ÍøÖ·Ğ´Èë : http://www.gdhed.edu.cn
2018-09-04 02:56:40: [+] ÓÑÁ´ÅÀĞĞ : http://cms.gzucm.edu.cn
2018-09-04 02:56:40: [+] ÍøÖ·Ğ´Èë : http://ir.lzu.edu.cn
2018-09-04 02:56:40: [+] ÓÑÁ´ÅÀĞĞ : http://klnmc.lzu.edu.cn
2018-09-04 02:56:40: [+] ÓÑÁ´ÅÀĞĞ : http://wlaq.biem.edu.cn
2018-09-04 02:56:40: [+] ÓÑÁ´ÅÀĞĞ : http://bkjwt.sdu.edu.cn
2018-09-04 02:56:41: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:56:41: [*] Òì³£×´Ì¬ : HTTPConnectionPool(host='cms.gzucm.edu.cn', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000000000E42AF28>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))
2018-09-04 02:56:41: [+] ÓÑÁ´ÅÀĞĞ : http://eprinting.cuhk.edu.cn
2018-09-04 02:56:41: [+] ÓÑÁ´ÅÀĞĞ : http://nelcf.jiangnan.edu.cn
2018-09-04 02:56:41: [+] ÓÑÁ´ÅÀĞĞ : http://wyx.biem.edu.cn
2018-09-04 02:56:41: [+] ÓÑÁ´ÅÀĞĞ : http://xxgk.lzu.edu.cn
2018-09-04 02:56:41: [-] ÍøÖ·ÅÅ³ı : http://www.sdxxgqt.com : ÅÅ³ıÔ­Òò : ÍøÖ·ÖĞ²»´æÔÚ : .edu.cn
2018-09-04 02:56:41: [+] ÓÑÁ´ÅÀĞĞ : http://www.sdufe.edu.cn
2018-09-04 02:56:41: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:56:41: [*] Òì³£×´Ì¬ : HTTPConnectionPool(host='eprinting.cuhk.edu.cn', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x000000000E5464E0>: Failed to establish a new connection: [Errno 11001] getaddrinfo failed',))
2018-09-04 02:56:41: [+] ÓÑÁ´ÅÀĞĞ : http://ecard.cuhk.edu.cn
2018-09-04 02:56:41: [-] ÍøÖ·ÅÅ³ı : http://cty.zuvio.com.cn : ÅÅ³ıÔ­Òò : ÍøÖ·ÖĞ²»´æÔÚ : .edu.cn
2018-09-04 02:56:41: [+] ÓÑÁ´ÅÀĞĞ : http://www.jspx.sdu.edu.cn
2018-09-04 02:56:41: [*] Òì³£×´Ì¬ : 'href'
2018-09-04 02:56:41: [+] ÍøÖ·Ğ´Èë : http://klnmc.lzu.edu.cn
